Name,Address,City,Zipcode,Latitude,Longitude,Area of the City,Type,Hours,Ezvote Code,Election Code,Boss Code
Ben Hur Shrine Center,7811 Rockwood Lane ,Austin,78757,30.358129,-97.738055,NC,EV,R,247,P14,1
Carver Library and Museum Complex,1165 Angelina  Street ,Austin,78702,30.27017,-97.72414,E,EV,V,339,P14,2
"County Tax Office, Pflugerville",15822 Foothill Farms Loop ,Pflugerville,78660,30.44886,-97.65221,NE,EV,R,346,P14,3
Dan Ruiz Public Library,1600 Grove Boulevard ,Austin,78741,30.229955,-97.707033,SE,EV,V,424,P14,4
Fiesta Mart Central,3909 North IH 35 ,Austin,78722,30.29642,-97.71764,E,EV,R,602,P14,5
Fiesta Mart Stassney,5510 South IH 35 ,Austin,78745,30.20035,-97.76433,S,EV,R,620,P14,6
Gus Garcia Recreation Center,1201 East Rundberg Lane ,Austin,78753,30.35258,-97.68208,NE,EV,V,718,P14,7
HEB South Congress,2400 South Congress Avenue ,Austin,78704,30.239642,-97.755452,S,EV,R,802,P14,8
Howson Branch Library,2500 Exposition Boulevard ,Austin,78703,30.2982,-97.7676,C,EV,V,830,P14,9
Parque Zaragoza Recreation Center,2608 Gonzales Street ,Austin,78702,30.261746,-97.711565,E,EV,V,1670,P14,14
Randalls Ben White and Manchaca,2025 West Ben White Boulevard ,Austin,78704,30.229418,-97.790117,S,EV,R,1800,P14,15
Randalls Brodie and Slaughter,9911 Brodie Lane ,Austin,78748,30.184057,-97.847993,S,EV,R,1830,P14,20
Randalls Flagship at West Lake Hills,3300 Bee Cave Road ,West Lake Hills,78746,30.275376,-97.798812,W,EV,R,1803,P14,16
Randalls Lakeway,2301 RR 620 South ,Lakeway,78734,30.341584,-97.966429,NW,EV,R,1826,P14,19
Randalls Research and Braker,10900-D Research Boulevard ,Austin,78759,30.401991,-97.747132,NW,EV,R,1805,P14,18
Randalls South Mopac and William Cannon,6600 South Mopac Expressway ,Austin,78749,30.22278,-97.836277,SW,EV,R,1804,P14,17
Randalls Steiner Ranch,5145 RM 620 North ,Austin,78732,30.389683,-97.885008,NW,EV,R,1847,P14,21
Travis County Airport Blvd Offices,5501 Airport Boulevard ,Austin,78751,30.316062,-97.713196,C,EV,R,2035,P14,22
"University of Texas, Flawn Academic Center",2400 Inner Campus Drive (On the West Mall) ,Austin,78712,30.286086,-97.74033,C,EV,R,2100,P14,23
Wheatsville Food Co-op South Lamar,4001 South Lamar Blvd. ,Austin,78704,30.235728,-97.791032,SW,EV,V,2340,P14,24
Mobile 1, ,-,-,-,-,-,EV,,1301,P14,10
Mobile 2, ,-,-,-,-,-,EV,,1302,P14,11
Mobile 3, ,-,-,-,-,-,EV,,1303,P14,12
Mobile 4, ,-,-,-,-,-,EV,,1304,P14,13
